wl,orient_000,orient_010,orient_020,orient_030,orient_040,orient_050,orient_060,orient_070,orient_080,orient_090,orient_100,orient_110,orient_120,orient_130,orient_140,orient_150,orient_160,orient_170,orient_180
391,7.783078721,7.60538393,7.316568222,6.977624892,6.202657076,3.888311899,3.076258553,1.841870688,1.661722418,1.540848904,1.443811678,1.365883831,1.301507727,1.205237344,1.172390272,1.152360216,1.116506338,1.116597362,1.093055428
392,7.564607188,7.378376226,7.123571298,6.802121034,6.041147826,3.784095475,2.991212372,1.801807524,1.629496102,1.503099213,1.420459953,1.340486773,1.27569195,1.169708172,1.146777334,1.130594769,1.082036788,1.109747007,1.064572751
393,7.147719301,6.985723798,6.732680411,6.401253388,5.72467649,3.557999295,2.800106121,1.687799369,1.534162799,1.404884598,1.326574328,1.250044685,1.187245774,1.098204239,1.081245753,1.055352419,1.006427103,1.044700342,1.002710696
394,6.908347015,6.778470897,6.537476024,6.212794567,5.5471651,3.443580778,2.691479678,1.621561986,1.475677927,1.359238965,1.272640788,1.206216803,1.131988235,1.077216536,1.046560348,1.01769634,0.974321237,1.004128097,0.972299776
395,6.639694046,6.538026898,6.297454322,6.02584574,5.353853453,3.321491855,2.588314222,1.545323858,1.401700967,1.289196542,1.2131005,1.153075438,1.07609868,1.02787512,0.995925678,0.960350162,0.924618984,0.962146033,0.927956427
396,6.632523061,6.551081939,6.291809704,5.988803089,5.330766329,3.289432131,2.551451888,1.522365207,1.372978591,1.263872443,1.181787387,1.117062592,1.059772772,1.011761783,0.982884329,0.945619563,0.923748965,0.944547892,0.919731213
397,7.223473187,7.102463817,6.840585995,6.496987703,5.785187932,3.574619502,2.794965138,1.648790651,1.485797034,1.363802331,1.283716513,1.208274945,1.164459814,1.094000334,1.067496417,1.018116396,1.010291607,1.026429883,0.993065554
398,7.749199725,7.604043484,7.301344083,6.934510406,6.183488803,3.820854785,2.988290915,1.759037129,1.586257762,1.447839228,1.365926771,1.28036687,1.233309848,1.141506669,1.132006637,1.081978721,1.075108269,1.094827413,1.046189337
399,8.660285955,8.498987654,8.169107411,7.712786963,6.902271123,4.258858966,3.324621062,1.942250683,1.770724854,1.605458914,1.505680081,1.421449979,1.368926281,1.267954355,1.236588412,1.20511932,1.192429552,1.213577349,1.156947419
400,9.959807751,9.727887461,9.411427825,8.866285991,7.946679304,4.928770554,3.829415596,2.228017265,2.03191873,1.839949736,1.734373301,1.641887812,1.567867012,1.466192309,1.415253033,1.391578931,1.35847246,1.384476299,1.32873542
