wl,orient_000,orient_010,orient_020,orient_030,orient_040,orient_050,orient_060,orient_070,orient_080,orient_090,orient_100,orient_110,orient_120,orient_130,orient_140,orient_150,orient_160,orient_170,orient_180
605,0.170474018,0.108739982,0.181523804,0.124831939,0.149027756,0.089416794,0.156138549,0.107399173,0.189492915,0.174283499,0.117091988,0.18585428,0.127928578,0.120677565,0.105109076,0.17506273,0.098993984,0.114599988,0.163655392
606,0.171806062,0.109458395,0.182861915,0.126091843,0.15015083,0.090113704,0.157262721,0.107973601,0.190663474,0.175642183,0.117790015,0.186719154,0.129413679,0.121517039,0.105796808,0.176470087,0.099647808,0.115382368,0.165041824
607,0.1718786,0.109510487,0.18257705,0.126177817,0.150209863,0.0900878,0.156836128,0.107671181,0.190298291,0.175516172,0.117953443,0.186928591,0.129501374,0.121266892,0.105695585,0.176294317,0.09962111,0.115346513,0.165211601
608,0.172993585,0.109996842,0.18356407,0.127012169,0.151078238,0.090580921,0.157512872,0.108047961,0.190859694,0.176553456,0.119113335,0.188235351,0.130352412,0.12194408,0.106065337,0.177242882,0.099929753,0.115895426,0.166140189
609,0.173124215,0.109785468,0.183732597,0.127016048,0.151157208,0.090520346,0.157179554,0.108011583,0.190519608,0.176786699,0.119190868,0.188407249,0.130556369,0.121897649,0.105839575,0.177621777,0.099646041,0.116069478,0.166296148
610,0.174408832,0.110484366,0.185114676,0.127713099,0.152125409,0.090928534,0.157706441,0.108555596,0.191590521,0.178297008,0.119476128,0.18961697,0.130367361,0.12230936,0.106398689,0.178678434,0.100330329,0.116839341,0.167718347
611,0.174438089,0.110291047,0.185494704,0.127596857,0.152527296,0.090885255,0.157715255,0.108621453,0.191592673,0.178626851,0.119697999,0.190004598,0.130548794,0.122156256,0.106487057,0.179298908,0.100488467,0.117056862,0.167742898
612,0.174891279,0.110379886,0.185783265,0.127879354,0.152830417,0.091174492,0.157853797,0.108676481,0.191581189,0.178989104,0.119911371,0.19009893,0.130736942,0.122117164,0.106632899,0.179879975,0.100740291,0.11726605,0.168303594
613,0.177160909,0.111780152,0.188323696,0.129605609,0.155045297,0.092044313,0.159950678,0.109759531,0.193765988,0.181304127,0.121424231,0.19219017,0.132997721,0.123437489,0.107969591,0.182055334,0.102130023,0.118847286,0.170428941
614,0.175883091,0.110775023,0.18684711,0.128555388,0.154039828,0.091301692,0.158354629,0.108730204,0.191892952,0.180300753,0.121130792,0.191184053,0.131726496,0.122340892,0.107130181,0.180927422,0.100945328,0.117775286,0.169000809
615,0.176440007,0.111153154,0.187465232,0.128872817,0.154330338,0.091231563,0.158571622,0.108871669,0.192115888,0.180368807,0.120829625,0.191414536,0.132150273,0.122699362,0.107322083,0.181542202,0.101022137,0.118264338,0.169645451
616,0.175939974,0.110742067,0.187226738,0.128476758,0.154006758,0.09090602,0.157504828,0.108446459,0.19115584,0.179758773,0.120370157,0.191671273,0.131446293,0.122133436,0.106997985,0.1813691,0.10042111,0.117911918,0.169390982
617,0.178483141,0.112375781,0.190109547,0.130207142,0.156423056,0.092303027,0.159678127,0.110154737,0.193906084,0.182552804,0.122250034,0.194011738,0.133611285,0.123831433,0.108503201,0.184225518,0.101693491,0.119656896,0.172157489
618,0.180315697,0.113621162,0.192014323,0.131406003,0.157836403,0.093247042,0.160873455,0.111168002,0.195321283,0.184422011,0.124117648,0.196654609,0.134434123,0.124781001,0.109405936,0.186238683,0.102551921,0.120801616,0.173984536
619,0.181819772,0.11434198,0.193314725,0.132263359,0.158878918,0.094050007,0.161579812,0.111805485,0.196567501,0.185956167,0.124076073,0.19798102,0.135708626,0.125268864,0.110116936,0.187393853,0.103062086,0.121447131,0.175117923
620,0.185956559,0.11701877,0.197443594,0.13511013,0.162103395,0.095956062,0.164925178,0.114075905,0.200549069,0.190575691,0.126747355,0.201592465,0.138612333,0.127866953,0.112346422,0.191443246,0.105289389,0.124066035,0.17896062
621,0.187087617,0.117611733,0.198281593,0.135917635,0.162719541,0.096408774,0.165287782,0.114223797,0.200902676,0.19162937,0.127256093,0.203247224,0.139635987,0.128230826,0.112819775,0.192263606,0.105754888,0.124466758,0.179625661
622,0.190699522,0.119763298,0.202405156,0.1385535,0.165829638,0.098198021,0.16823633,0.116251159,0.204531774,0.195513513,0.129830237,0.207153259,0.14182457,0.130708416,0.115001482,0.196369257,0.107969348,0.126696311,0.183427306
623,0.191974894,0.120647823,0.204261028,0.139874945,0.167079708,0.098742507,0.169274325,0.116780177,0.205534141,0.196014392,0.130610857,0.209346249,0.142972444,0.131693811,0.115843756,0.197663116,0.108545781,0.127461625,0.184984381
624,0.193086676,0.12119071,0.205414482,0.140616539,0.168151136,0.099243119,0.169912812,0.117163238,0.206276943,0.197548409,0.1313475,0.210522772,0.14432887,0.131867773,0.116625676,0.1988518,0.109115045,0.128281863,0.186206783
625,0.191826328,0.120299642,0.204312731,0.1394487,0.166979816,0.098399457,0.168506908,0.116348314,0.204113611,0.196662855,0.130775984,0.209298986,0.142337674,0.130907138,0.115925021,0.197901471,0.108227366,0.127525474,0.185093968
626,0.190004288,0.119156985,0.202536306,0.138097447,0.165547553,0.097488179,0.16655931,0.115194602,0.20156482,0.193904374,0.129169077,0.207587032,0.141859396,0.129226733,0.114918214,0.195905244,0.106976862,0.126538311,0.183459477
627,0.189745467,0.118836817,0.202322339,0.137467432,0.165413158,0.096932768,0.165349499,0.114671957,0.200316284,0.194040376,0.129430506,0.206968786,0.14031678,0.128460243,0.114574029,0.195790919,0.106657029,0.126598536,0.182863983
628,0.188486601,0.11826414,0.201031911,0.136458114,0.164460357,0.096202981,0.163537797,0.113589679,0.198232746,0.192456333,0.128725257,0.205452549,0.139387277,0.127182672,0.113669266,0.194692771,0.105798055,0.125711036,0.181760568
629,0.188364194,0.11843853,0.20101772,0.136506728,0.16459592,0.096114046,0.162873504,0.11314583,0.197669016,0.193031477,0.128831039,0.206038074,0.139336862,0.126507152,0.113342656,0.194523019,0.105445546,0.125422588,0.181445024
