wl,wing,face
567.618,15.17,85.54944
567.962,14.39,85.5168
568.305,14.21,88.57952
568.649,15.01,85.64736
568.992,15.15,88.73184
569.336,15.44,85.78336
569.679,15.35,85.31008
570.022,15.87,85.32096
570.366,15.31,89.96128
570.709,14.41,86.62112
571.052,16.65,84.9184
571.395,15.68,88.13344
571.739,14.71,86.34912
572.082,14.54,88.1552
572.425,15.62,87.38816
572.768,15.77,87.38272
573.111,15.2,86.39808
573.454,14.34,86.59392
573.796,14.15,86.32736
574.139,14.91,86.38176
574.482,15.57,85.09792
574.825,16.01,83.60192
575.167,15.54,86.1696
575.51,15.91,86.53952
575.853,14.63,85.11424
576.195,15.67,86.59392
576.538,15.76,83.54752
576.88,15.74,83.62912
577.223,15.81,83.2864
577.565,14.42,85.80512
577.907,14.63,83.65088
578.25,15.75,84.42336
578.592,16.58,85.14688
578.934,15.26,84.64096
579.276,15.76,85.09248
579.618,16.17,87.50784
579.961,14.73,86.59392
